2025-05-09 22:44:00 [INFO] 服务器已在 0.0.0.0:65432 启动，监听中...
2025-05-09 22:44:00 [INFO] 文件将保存在: C:\Users\MitruHa\Desktop\yunpan-0.1\server\serverinfo\server_files
2025-05-09 22:46:34 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:34 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:34 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:34 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:34 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:34 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:34 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:34 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:34 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:34 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:34 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:46 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:46 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:47 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:47 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:47 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:47 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:47 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:47 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:47 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:48 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:48 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:48 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:48 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:48 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:48 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:48 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:48 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:48 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:48 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:48 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:48 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:48 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:48 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:48 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:49 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:49 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:49 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:49 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:49 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:49 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:49 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:49 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:49 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:49 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:49 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:49 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:49 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:49 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:49 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:49 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:49 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:49 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:51 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:51 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:51 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:51 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:51 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:51 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:46:51 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: LIST_FILES
2025-05-09 22:46:51 [INFO] ('127.0.0.1', 9991) 请求文件列表。
2025-05-09 22:46:51 [INFO] 已向 ('127.0.0.1', 9991) 发送文件列表。
2025-05-09 22:47:05 [DEBUG] 来自 ('127.0.0.1', 9991) 的原始请求: DOWNLOAD_FILE|testfile.txt
2025-05-09 22:47:05 [INFO] ('127.0.0.1', 9991) 请求下载文件: testfile.txt
2025-05-09 22:48:37 [INFO] 文件 'testfile.txt' (10240000000字节) 已发送给 ('127.0.0.1', 9991)。
2025-05-09 22:48:37 [INFO] 客户端 ('127.0.0.1', 9991) 断开连接。
2025-05-09 22:48:37 [INFO] 关闭与 ('127.0.0.1', 9991) 的连接。
2025-05-09 22:48:37 [INFO] 接受来自 ('127.0.0.1', 10441) 的连接。
2025-05-09 22:48:37 [DEBUG] 来自 ('127.0.0.1', 10441) 的原始请求: LIST_FILES
2025-05-09 22:48:37 [INFO] ('127.0.0.1', 10441) 请求文件列表。
2025-05-09 22:48:37 [INFO] 已向 ('127.0.0.1', 10441) 发送文件列表。
2025-05-09 22:48:51 [ERROR] 与客户端 ('127.0.0.1', 10441) 通信时发生套接字错误: [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2025-05-09 22:48:51 [INFO] 关闭与 ('127.0.0.1', 10441) 的连接。
2025-05-09 22:53:43 [INFO] 接受来自 ('127.0.0.1', 11140) 的连接。
2025-05-09 22:53:43 [DEBUG] 来自 ('127.0.0.1', 11140) 的原始请求: LIST_FILES
2025-05-09 22:53:43 [INFO] ('127.0.0.1', 11140) 请求文件列表。
2025-05-09 22:53:43 [INFO] 已向 ('127.0.0.1', 11140) 发送文件列表。
2025-05-09 22:54:23 [INFO] 客户端 ('127.0.0.1', 11140) 断开连接。
2025-05-09 22:54:23 [INFO] 关闭与 ('127.0.0.1', 11140) 的连接。
2025-05-10 11:32:43 [INFO] 服务器已在 0.0.0.0:65432 启动，监听中...
2025-05-10 11:32:43 [INFO] 文件将保存在: C:\Users\MitruHa\Desktop\yunpan-0.1\server\serverinfo\server_files
2025-05-10 11:34:42 [INFO] 接受来自 ('127.0.0.1', 2183) 的连接。
2025-05-10 11:34:42 [DEBUG] 来自 ('127.0.0.1', 2183) 的原始请求: LIST_FILES
2025-05-10 11:34:42 [INFO] ('127.0.0.1', 2183) 请求文件列表。
2025-05-10 11:34:42 [INFO] 已向 ('127.0.0.1', 2183) 发送文件列表。
2025-05-10 11:34:50 [ERROR] 与客户端 ('127.0.0.1', 2183) 通信时发生套接字错误: [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2025-05-10 11:34:50 [INFO] 关闭与 ('127.0.0.1', 2183) 的连接。
